run,solution,cost,quality
1,"[1, 0, 1, 0, 0]",22,1.85
2,"[1, 1, 0, 0, 0]",25,1.7
3,"[0, 0, 1, 0, 1]",17,1.55
4,"[0, 0, 1, 0, 1]",17,1.55
5,"[0, 0, 0, 1, 1]",25,1.3
6,"[0, 0, 1, 0, 0]",12,0.95
7,"[0, 1, 1, 0, 0]",27,1.75
8,"[0, 0, 1, 0, 0]",12,0.95
9,"[0, 0, 1, 0, 1]",17,1.55
10,"[0, 1, 1, 0, 0]",27,1.75
