trial,batch_size,success_count,total_time,avg_time,throughput
13,100,100,0.0009230000000000071,9.230000000000071e-06,108342.36186348778
14,1,1,1.1700000000058886e-05,1.1700000000058886e-05,85470.0854696553
14,5,5,4.529999999991485e-05,9.059999999982971e-06,110375.27593839732
14,10,10,8.889999999994735e-05,8.889999999994736e-06,112485.93925765941
14,20,20,0.00017179999999994422,8.58999999999721e-06,116414.43539002616
14,50,50,0.0004342999999999986,8.68599999999997e-06,115127.79184895271
14,100,100,0.0009550999999999865,9.550999999999865e-06,104701.07842110921
15,1,1,1.180000000000625e-05,1.180000000000625e-05,84745.76271181952
15,5,5,4.959999999998299e-05,9.919999999996598e-06,100806.45161293779
15,10,10,9.140000000007475e-05,9.140000000007475e-06,109409.19037190176
15,20,20,0.0001843000000000261,9.215000000001305e-06,108518.71947909477
15,50,50,0.00046040000000002745,9.20800000000055e-06,108601.21633361647
15,100,100,0.0015598,1.5598000000000002e-05,64110.783433773555
16,1,1,1.3599999999946988e-05,1.3599999999946988e-05,73529.4117649925
16,5,5,5.089999999996486e-05,1.0179999999992972e-05,98231.8271120521
16,10,10,9.300000000000974e-05,9.300000000000975e-06,107526.88172041884
16,20,20,0.00019890000000000185,9.945000000000092e-06,100553.04172951139
16,50,50,0.0004694000000000642,9.388000000001285e-06,106518.96037493217
16,100,100,0.0009030999999999345,9.030999999999345e-06,110729.70878087393
17,1,1,1.8200000000079264e-05,1.8200000000079264e-05,54945.05494481565
17,5,5,4.8799999999959986e-05,9.759999999991997e-06,102459.01639352663
17,10,10,9.439999999993898e-05,9.439999999993897e-06,105932.20338989899
17,20,20,0.0001814999999999456,9.07499999999728e-06,110192.83746559777
17,50,50,0.00046890000000010534,9.378000000002106e-06,106632.54425248191
17,100,100,0.0009079999999999089,9.079999999999088e-06,110132.15859031942
18,1,1,1.180000000000625e-05,1.180000000000625e-05,84745.76271181952
18,5,5,4.779999999993123e-05,9.559999999986246e-06,104602.51046040154
18,10,10,9.159999999996948e-05,9.159999999996948e-06,109170.30567689227
18,20,20,0.00018019999999996372,9.009999999998186e-06,110987.79134297463
18,50,50,0.00044450000000006984,8.890000000001397e-06,112485.93925757513
18,100,100,0.0008873000000000353,8.873000000000354e-06,112701.45384875017
19,1,1,1.1499999999942112e-05,1.1499999999942112e-05,86956.52173956815
19,5,5,4.889999999990735e-05,9.77999999998147e-06,102249.48875274997
19,10,10,9.22999999999341e-05,9.22999999999341e-06,108342.36186356598
19,20,20,0.0001826999999999801,9.134999999999005e-06,109469.07498632828
19,50,50,0.00045109999999992656,9.02199999999853e-06,110840.16847707413
19,100,100,0.0009425999999999046,9.425999999999045e-06,106089.539571409
