trial,task_size,local_time,edge_total_time,access_time,key_time,task_time
0,2,0.024133599999999866,0.015128600000000159,4.520000000018953e-05,2.5599999999847967e-05,0.015057800000000121
0,4,0.0303053000000002,0.014965999999999813,3.96000000000285e-05,1.980000000001425e-05,0.01490659999999977
0,8,0.061666499999999846,0.030696299999999788,4.349999999986309e-05,2.140000000006026e-05,0.030631399999999864
0,16,0.10691950000000006,0.06100629999999985,4.239999999988697e-05,2.1799999999849717e-05,0.06094210000000011
0,32,0.19980010000000004,0.10838159999999997,4.159999999986397e-05,2.250000000003638e-05,0.10831750000000007
1,2,0.01576700000000031,0.015374400000000232,3.730000000023992e-05,1.7299999999664806e-05,0.015319800000000328
1,4,0.030373699999999726,0.01548890000000025,5.6900000000137396e-05,2.7100000000057634e-05,0.015404900000000055
1,8,0.06202000000000041,0.030106599999999872,3.4799999999890474e-05,1.81000000001319e-05,0.03005369999999985
1,16,0.10791969999999962,0.061981500000000356,3.6600000000053257e-05,2.089999999999037e-05,0.06192400000000031
1,32,0.19952170000000002,0.10720669999999988,4.619999999988522e-05,1.81000000001319e-05,0.10714239999999986
2,2,0.014777299999999993,0.015608900000000148,3.4900000000170905e-05,1.750000000022567e-05,0.015556499999999751
2,4,0.030665600000000293,0.015395100000000106,8.270000000010214e-05,2.7699999999963865e-05,0.01528470000000004
2,8,0.06124529999999995,0.03142920000000027,4.330000000019041e-05,2.6199999999754198e-05,0.03135970000000032
2,16,0.10868589999999978,0.060537300000000016,7.249999999991985e-05,3.190000000019566e-05,0.0604328999999999
2,32,0.20037079999999996,0.11016300000000001,5.049999999995336e-05,1.7399999999945237e-05,0.11009510000000011
3,2,0.015340800000000154,0.015149200000000196,7.890000000010389e-05,9.839999999972093e-05,0.014971900000000371
3,4,0.03125909999999976,0.015727899999999906,3.5700000000638e-05,1.8199999999524152e-05,0.015673999999999744
3,8,0.06128260000000019,0.030368199999999845,3.780000000030981e-05,2.739999999956666e-05,0.03030299999999997
