trial,task_size,local_time,edge_total_time,access_time,key_time,task_time
0,2,0.013610200000000017,0.014834299999999967,0.0003036999999999068,2.6800000000104518e-05,0.014503799999999956
0,4,0.03117049999999999,0.014564400000000255,0.00037350000000024863,3.4400000000101016e-05,0.014156499999999905
0,8,0.0616992999999999,0.02999889999999983,0.0003348999999999158,2.689999999994086e-05,0.029637099999999972
0,16,0.10866480000000012,0.06156410000000001,0.0004138000000000197,6.609999999973581e-05,0.061084200000000255
0,32,0.20304639999999985,0.10904770000000008,0.000295200000000051,2.469999999998862e-05,0.10872780000000004
1,2,0.014768700000000301,0.015695400000000248,0.0002472999999998393,2.2200000000083264e-05,0.015425900000000325
1,4,0.03056119999999929,0.014706200000000003,0.000256000000000256,2.2200000000083264e-05,0.014427999999999663
1,8,0.061733600000000166,0.030944600000000655,0.000283700000000664,2.2699999999709064e-05,0.030638200000000282
1,16,0.10915799999999987,0.06214350000000035,0.00025969999999997384,2.2700000000597242e-05,0.06186109999999978
1,32,0.20015489999999936,0.10847729999999967,0.0002652999999996908,2.1700000000457464e-05,0.10819029999999952
2,2,0.01434129999999989,0.014653700000000214,0.00026190000000081426,2.2899999999381748e-05,0.014368900000000018
2,4,0.030904500000000112,0.014659400000000211,0.00025950000000030116,2.1499999999896602e-05,0.014378400000000013
2,8,0.06064380000000025,0.030981899999999563,0.000247499999999512,2.1700000000457464e-05,0.030712699999999593
2,16,0.10831169999999979,0.06142689999999984,0.00026420000000015875,2.349999999928798e-05,0.06113920000000039
2,32,0.20323139999999995,0.1092651,0.0003353999999999857,2.8200000000033754e-05,0.10890149999999998
3,2,0.014685300000000012,0.01515310000000003,0.0002678000000004843,2.2099999999802833e-05,0.014863199999999743
3,4,0.030145499999999714,0.015764900000000637,0.00024870000000021264,2.1600000000177033e-05,0.015494600000000247
3,8,0.06114980000000081,0.0301670000000005,0.00024930000000011887,2.1300000000223918e-05,0.029896400000000156
3,16,0.10726549999999957,0.06101279999999942,0.0002715999999995944,2.630000000003463e-05,0.060714899999999794
3,32,0.20148010000000038,0.10671289999999978,0.00026450000000011187,2.089999999999037e-05,0.10642749999999968
4,2,0.014882899999999921,0.01493439999999957,0.0002948999999992097,2.260000000031681e-05,0.014616900000000044
4,4,0.031077699999999986,0.014754899999999793,0.0002564999999998818,2.2099999999802833e-05,0.014476300000000109
4,8,0.06024150000000006,0.030180600000000446,0.0002522000000002578,2.2099999999802833e-05,0.029906300000000385
4,16,0.10811689999999974,0.061886499999999955,0.00026950000000081076,2.529999999989485e-05,0.06159169999999925
4,32,0.2045507999999998,0.10751780000000011,0.00028380000000005623,2.4899999999661304e-05,0.10720910000000039
5,2,0.015641600000000366,0.014809500000000142,0.0002572000000000685,2.3399999999895726e-05,0.014528900000000178
5,4,0.031424300000000294,0.014834800000000037,0.0002588000000001145,2.139999999961617e-05,0.014554600000000306
5,8,0.06249880000000019,0.030490499999999976,0.00025549999999974204,2.19999999995224e-05,0.03021300000000071
5,16,0.1095341000000003,0.06149629999999995,0.0002766000000002933,2.2699999999709064e-05,0.061196999999999946
5,32,0.2001059999999999,0.10889780000000027,0.0002551000000003967,2.2599999999428633e-05,0.10862010000000044
6,2,0.015174999999999272,0.015376600000000629,0.00024900000000016576,2.2099999999802833e-05,0.01510550000000066
6,4,0.031392800000000776,0.014888199999999685,0.00027679999999996596,2.1000000000270802e-05,0.014590399999999448
6,8,0.06231429999999971,0.02897679999999969,0.0005582999999997895,2.7300000000174407e-05,0.028391199999999728
6,16,0.10869670000000031,0.06040719999999933,0.0002651000000000181,2.3199999999334864e-05,0.060118899999999975
6,32,0.20078049999999958,0.10770139999999984,0.00025109999999983756,2.2699999999709064e-05,0.10742760000000029
7,2,0.015531900000000043,0.015648099999999943,0.0002526999999998836,2.2200000000083264e-05,0.015373199999999976
7,4,0.030070100000000544,0.015159600000000495,0.00024610000000002685,2.2599999999428633e-05,0.01489090000000104
