trial,batch_size,success_count,total_time,avg_time,throughput
0,1,1,0.0001596000000000375,0.0001596000000000375,6265.66416039953
0,5,5,0.0005451000000000761,0.00010902000000001522,9172.62887543442
0,10,10,0.0010685999999999751,0.00010685999999999751,9358.038555119065
0,20,20,0.002140599999999937,0.00010702999999999685,9343.174810800985
0,50,50,0.005043599999999926,0.00010087199999999852,9913.55381077023
0,100,100,0.01011379999999995,0.0001011379999999995,9887.480472226116
1,1,1,0.00011859999999996873,0.00011859999999996873,8431.703204049441
1,5,5,0.0005283999999999844,0.00010567999999999689,9462.528387585442
1,10,10,0.0010788999999999938,0.00010788999999999938,9268.699601445971
1,20,20,0.002371800000000035,0.00011859000000000175,8432.414200185389
1,50,50,0.005015400000000003,0.00010030800000000007,9969.294572716028
1,100,100,0.010747699999999916,0.00010747699999999916,9304.316272318802
2,1,1,0.00011140000000009476,0.00011140000000009476,8976.660682218577
2,5,5,0.0006977000000000233,0.00013954000000000467,7166.403898523481
2,10,10,0.0013951000000000935,0.00013951000000000935,7167.944950182302
2,20,20,0.0024220999999999826,0.00012110499999999913,8257.297386565437
2,50,50,0.005131399999999897,0.00010262799999999795,9743.92953190182
2,100,100,0.010816200000000054,0.00010816200000000054,9245.391172500462
3,1,1,0.0001246999999999776,0.0001246999999999776,8019.2461908595
3,5,5,0.0005430000000000712,0.00010860000000001424,9208.103130753858
3,10,10,0.0010560999999998932,0.00010560999999998932,9468.800303002567
3,20,20,0.00207450000000009,0.00010372500000000451,9640.877319835687
3,50,50,0.005367899999999981,0.00010735799999999962,9314.629557182543
3,100,100,0.010485600000000095,0.00010485600000000095,9536.888685435177
4,1,1,0.00013450000000003737,0.00013450000000003737,7434.94423791615
4,5,5,0.0005340000000000344,0.00010680000000000689,9363.29588014921
4,10,10,0.0010584999999999622,0.00010584999999999623,9447.331128956406
4,20,20,0.0020908000000000593,0.00010454000000000297,9565.716472163494
4,50,50,0.0053754999999999775,0.00010750999999999954,9301.460329271735
4,100,100,0.01068800000000003,0.0001068800000000003,9356.287425149674
5,1,1,0.00011609999999984133,0.00011609999999984133,8613.264427229687
5,5,5,0.0005401000000000433,0.00010802000000000866,9257.544899092018
5,10,10,0.0010858000000000256,0.00010858000000000257,9209.799226376648
5,20,20,0.002197400000000016,0.0001098700000000008,9101.665604805614
5,50,50,0.004732100000000017,9.464200000000033e-05,10566.133429132906
5,100,100,0.01018640000000004,0.00010186400000000039,9817.010916516101
6,1,1,0.00012310000000015364,0.00012310000000015364,8123.476848080844
6,5,5,0.0005367000000000566,0.00010734000000001132,9316.191540897098
6,10,10,0.0010392999999999653,0.00010392999999999652,9621.860867892172
6,20,20,0.0025929999999998454,0.00012964999999999228,7713.0736598539115
6,50,50,0.004932699999999901,9.865399999999802e-05,10136.436434407324
6,100,100,0.009981200000000134,9.981200000000134e-05,10018.83541057174
7,1,1,0.00011440000000018102,0.00011440000000018102,8741.25874124491
7,5,5,0.0005279000000000256,0.00010558000000000511,9471.490812653454
7,10,10,0.0010103999999999669,0.00010103999999999669,9897.07046714205
7,20,20,0.0020274000000000125,0.00010137000000000062,9864.851533984352
7,50,50,0.005401699999999954,0.00010803399999999908,9256.345224651577
7,100,100,0.010750199999999932,0.00010750199999999932,9302.152518092746
8,1,1,0.00017460000000002474,0.00017460000000002474,5727.376861396669
8,5,5,0.0005041000000001183,0.00010082000000002366,9918.666931162123
