operation,count,mean,std,min,max
server::derive_service_key,30,0.0036266666666155225,0.00019106477211869408,0.0033999999997647024,0.0042000000000097515
server::establish_internal_channel,30,0.005893333333310362,0.0005355843301890907,0.004899999999974369,0.007199999999762952
server::establish_internal_channel_with_ecs,30,0.006596666666602857,0.0004845782620497453,0.005599999999938987,0.00770000000027693
server::issue_service_challenge,30,0.005296666666628387,0.00100326478556951,0.004500000000184912,0.008999999999925734
server::prepare_aas_and_token,30,0.19222666666660615,0.010729493137518585,0.1800999999996833,0.22669999999980206
server::process_task,30,200.1813133333333,1.7440721550111,195.91519999999974,203.5505999999998
server::verify_access_request,30,0.33270999999998424,0.005788237180423399,0.3260000000002705,0.3454000000004953
server::verify_offload_packet,30,0.0022966666666013325,0.0002772815491283739,0.0019999999993913775,0.003200000000092018
ta::issue_registration_shares,30,0.17793000000011125,0.024161870074966924,0.16450000000034493,0.28810000000056846
vehicle::build_offload_packet,30,0.008183333333300347,0.0005246235651015278,0.007200000000207041,0.009499999999995623
vehicle::derive_service_key,30,0.005966666666664307,0.00042534637672138564,0.005200000000371574,0.006900000000253925
vehicle::generate_access_request,30,0.16091999999997922,0.008165588012312295,0.1517999999998132,0.19130000000000535
vehicle::request_registration,30,0.1384466666666473,0.017307138916460955,0.12860000000003424,0.22150000000031866
vehicle::respond_service_challenge,30,0.001976666666732759,0.0003480817713702891,0.001600000000046009,0.003000000000419334
