n,t,trial,registration_time_s,token_time_s
7,5,5,0.00024290000000004586,6.550000000005163e-05
7,5,6,0.00023789999999990208,6.359999999994148e-05
7,5,7,0.0002375000000000016,6.36000000000525e-05
7,5,8,0.00025290000000000035,6.339999999993573e-05
7,5,9,0.00024359999999989945,6.689999999998086e-05
7,5,10,0.00027890000000008186,6.629999999996361e-05
7,5,11,0.0002587000000000561,7.369999999995436e-05
7,5,12,0.0002678999999999876,6.739999999993973e-05
7,5,13,0.0002604000000000495,7.029999999996761e-05
7,5,14,0.0002555000000000751,7.089999999998486e-05
7,5,15,0.0002526999999999946,6.580000000000474e-05
7,5,16,0.00025730000000001585,6.54999999999406e-05
7,5,17,0.0002419000000000171,6.430000000001712e-05
7,5,18,0.0002415000000000056,6.850000000002687e-05
7,5,19,0.0002491000000000021,6.380000000005825e-05
7,5,20,0.00023700000000004273,6.349999999999412e-05
7,5,21,0.00023649999999997284,6.36000000000525e-05
7,5,22,0.00023799999999996047,6.660000000002775e-05
7,5,23,0.00024360000000001047,6.530000000004588e-05
7,5,24,0.00023810000000001885,6.329999999998837e-05
7,5,25,0.00023819999999996622,6.490000000003437e-05
7,5,26,0.00024810000000008436,6.649999999996936e-05
7,5,27,0.00024159999999995296,6.579999999989372e-05
7,5,28,0.00024809999999997334,6.479999999997599e-05
7,5,29,0.00024239999999997597,6.460000000008126e-05
9,5,0,0.00023819999999996622,6.480000000008701e-05
9,5,1,0.00023799999999996047,6.779999999995123e-05
9,5,2,0.0002419000000000171,6.6400000000022e-05
9,5,3,0.00039290000000002934,7.479999999993048e-05
9,5,4,0.0002590000000000092,6.919999999999149e-05
9,5,5,0.000251200000000007,6.919999999999149e-05
9,5,6,0.0002607000000000026,7.40000000000185e-05
9,5,7,0.00027700000000008274,7.109999999999062e-05
9,5,8,0.0002459000000000211,6.479999999997599e-05
9,5,9,0.0002398999999999596,6.620000000001625e-05
9,5,10,0.0002410999999999941,6.260000000002375e-05
9,5,11,0.00023180000000000422,6.330000000009939e-05
9,5,12,0.00022999999999995246,6.14999999999366e-05
9,5,13,0.0002268000000000825,6.299999999992423e-05
9,5,14,0.00023560000000000247,6.2400000000018e-05
9,5,15,0.00023329999999999185,6.309999999998261e-05
9,5,16,0.000247200000000003,6.100000000008876e-05
9,5,17,0.0002647000000000066,8.229999999997961e-05
9,5,18,0.00023019999999995822,6.14999999999366e-05
9,5,19,0.0002278999999999476,6.130000000004188e-05
9,5,20,0.00022709999999992458,6.0900000000030374e-05
9,5,21,0.0002303000000000166,6.180000000000074e-05
9,5,22,0.0002278999999999476,6.169999999994236e-05
9,5,23,0.00022639999999995997,6.129999999993085e-05
9,5,24,0.0002267000000000241,6.180000000000074e-05
9,5,25,0.00022679999999997147,6.209999999995386e-05
9,5,26,0.00022699999999997722,6.2400000000018e-05
9,5,27,0.00022699999999997722,6.150000000004763e-05
9,5,28,0.0002413999999999472,6.839999999996849e-05
9,5,29,0.00034640000000008,6.450000000002287e-05
