n,t,count,registration_time_mean_s,registration_time_std_s,registration_time_min_s,registration_time_max_s,token_time_mean_s,token_time_std_s,token_time_min_s,token_time_max_s
3,2,30,0.00023456333333334115,2.6362571212225655e-05,0.00021580000000009925,0.00032480000000001397,5.5040000000009895e-05,1.1959200757511176e-05,4.939999999997724e-05,0.00011159999999998949
5,3,30,0.00023495000000000043,3.2013798210498654e-05,0.00021740000000003423,0.0003498000000000667,5.704666666666025e-05,8.516342639541524e-06,5.2599999999958236e-05,9.870000000000712e-05
7,3,30,0.00023462999999999493,1.2023286314196149e-05,0.00022730000000004136,0.00028090000000002835,5.6836666666667165e-05,4.116617571481209e-06,5.500000000002725e-05,7.809999999996986e-05
7,5,30,0.00024703333333333524,9.943056261357992e-06,0.00023649999999997284,0.00027890000000008186,6.589999999999652e-05,2.3753039732764134e-06,6.329999999998837e-05,7.369999999995436e-05
9,5,30,0.0002473433333333275,3.620131149591747e-05,0.00022639999999995997,0.00039290000000002934,6.522333333333074e-05,5.041051021584888e-06,6.0900000000030374e-05,8.229999999997961e-05
