task_size,local_time_mean,local_time_std,local_time_min,local_time_max,edge_total_time_mean,edge_total_time_std,edge_total_time_min,edge_total_time_max,access_time_mean,access_time_std,access_time_min,access_time_max,key_time_mean,key_time_std,key_time_min,key_time_max,task_time_mean,task_time_std,task_time_min,task_time_max
2,0.015030184999999885,0.0005255099420913159,0.013610200000000017,0.015678199999999975,0.015105285000000168,0.00040578787597643864,0.014638900000001343,0.01572439999999986,0.0002627150000002132,1.5471205001695484e-05,0.0002472999999998393,0.0003036999999999068,2.2429999999862283e-05,1.336176792815738e-06,2.00999999986351e-05,2.6800000000104518e-05,0.014820140000000093,0.00041318268598782563,0.014358100000000817,0.01544999999999952
4,0.030706244999999875,0.0005576951822361512,0.02989600000000081,0.031790599999999,0.014905580000000196,0.0003355915305372927,0.014530399999999943,0.015764900000000637,0.00026713500000008494,2.9248576663455047e-05,0.00024610000000002685,0.00037350000000024863,2.291499999980129e-05,2.949803740224835e-06,2.1000000000270802e-05,3.4400000000101016e-05,0.01461553000000031,0.0003484003702638668,0.014156499999999905,0.015494600000000247
8,0.06178492000000006,0.0007559624229033817,0.060142700000000104,0.06265909999999941,0.03049400000000002,0.0006066695424070639,0.02897679999999969,0.03181140000000049,0.0002761699999999978,6.912131288344165e-05,0.000247499999999512,0.0005582999999997895,2.2810000000017537e-05,1.6218572850071282e-06,2.0899999999102192e-05,2.7300000000174407e-05,0.030195020000000006,0.0006535597750619894,0.028391199999999728,0.03153819999999996
16,0.10814813499999995,0.0008862752027594617,0.1068327,0.11021619999999999,0.06143869499999992,0.0006632404441954136,0.059908699999997594,0.062475000000000946,0.00027943500000005006,3.487392745001976e-05,0.0002563999999996014,0.0004138000000000197,2.5339999999918205e-05,9.713549949975814e-06,2.019999999980371e-05,6.609999999973581e-05,0.06113391999999995,0.0006649326444722798,0.05960019999999844,0.06217740000000127
32,0.20128150999999947,0.0014442587400864686,0.19860589999999867,0.2045507999999998,0.10827778999999975,0.0008018162841816167,0.10671289999999978,0.10946089999999842,0.00026768500000020625,1.9287718344762143e-05,0.00025109999999983756,0.0003353999999999857,2.305999999987485e-05,1.6816032450483342e-06,2.089999999999037e-05,2.8200000000033754e-05,0.10798704499999967,0.0007971455130156599,0.10642749999999968,0.10917649999999846
