batch_size,total_time_mean,total_time_std,total_time_min,total_time_max,avg_time_mean,avg_time_std,avg_time_min,avg_time_max,throughput_mean,throughput_std,throughput_min,throughput_max
1,1.2655000000005856e-05,2.2705146645986388e-06,1.1100000000041632e-05,1.9199999999996997e-05,1.2655000000005856e-05,2.2705146645986388e-06,1.1100000000041632e-05,1.9199999999996997e-05,80864.64600045249,10912.185665946472,52083.33333334148,90090.0900897522
5,4.866000000000037e-05,2.5668739948339567e-06,4.529999999991485e-05,5.6200000000061756e-05,9.732000000000074e-06,5.133747989667913e-07,9.059999999982971e-06,1.124000000001235e-05,103013.10586810706,5190.728767702348,88967.97153015135,110375.27593839732
10,9.121999999999741e-05,2.534311906999834e-06,8.660000000004775e-05,9.550000000002612e-05,9.121999999999741e-06,2.534311906999834e-07,8.660000000004776e-06,9.550000000002612e-06,109706.27355858742,3077.265776874927,104712.04188478811,115473.44110848136
20,0.00021160999999998985,0.00013347116345368827,0.00017179999999994422,0.0007777999999999397,1.0580499999999493e-05,6.673558172684413e-06,8.58999999999721e-06,3.888999999999698e-05,105954.27535984488,19362.871002936176,25713.551041400813,116414.43539002616
50,0.0004466650000000294,1.531133996680616e-05,0.00041400000000002546,0.0004694000000000642,8.933300000000588e-06,3.0622679933612336e-07,8.280000000000509e-06,9.388000000001285e-06,112068.14860955831,3915.8586639586497,106518.96037493217,120772.94685989595
100,0.000973014999999977,0.00023902803243443393,0.0008489999999999887,0.0017625000000000002,9.730149999999772e-06,2.3902803243443396e-06,8.489999999999887e-06,1.7625e-05,106514.18443328701,16127.703900637925,56737.58865248226,117785.6301531229
