task_size,local_time_mean,local_time_std,local_time_min,local_time_max,edge_total_time_mean,edge_total_time_std,edge_total_time_min,edge_total_time_max,access_time_mean,access_time_std,access_time_min,access_time_max,key_time_mean,key_time_std,key_time_min,key_time_max,task_time_mean,task_time_std,task_time_min,task_time_max
2,0.015786630000000246,0.0020039431497608554,0.014777299999999993,0.024133599999999866,0.015275329999999854,0.0003922870969341441,0.014541599999999377,0.01598249999999979,3.983999999994659e-05,1.0300608055681235e-05,3.2000000000032e-05,7.890000000010389e-05,2.3869999999881487e-05,1.778556777423243e-05,1.7299999999664806e-05,9.839999999972093e-05,0.015211620000000026,0.0003966931435066157,0.014481199999999639,0.01592789999999944
4,0.030630755000000277,0.00040534737600832167,0.02984530000000074,0.031470200000000226,0.015592619999999991,0.0013563056721922096,0.014909300000001124,0.021200699999999628,4.465500000006006e-05,1.3356980236996452e-05,3.3699999999470265e-05,8.270000000010214e-05,2.210999999998631e-05,3.6777996854165045e-06,1.7800000000178784e-05,2.7900000000080638e-05,0.015525854999999944,0.001356190900036712,0.014857799999999699,0.02113540000000036
8,0.061493690000000004,0.0015658590028281684,0.05550499999999836,0.06316860000000002,0.03092507499999997,0.0004957974776214951,0.030106599999999872,0.031831799999999966,4.1834999999856846e-05,9.189597952374948e-06,3.319999999895629e-05,6.30000000008124e-05,2.1939999999998072e-05,5.710968209896032e-06,1.7299999999664806e-05,3.629999999965605e-05,0.030861300000000112,0.0004957933429840533,0.03005369999999985,0.03178049999999999
16,0.10764379999999991,0.0009315369151087909,0.10590679999999963,0.11011479999999985,0.06153108999999992,0.0006340939726968473,0.060537300000000016,0.06274469999999965,4.315999999995324e-05,1.0935764599096493e-05,3.399999999942338e-05,7.249999999991985e-05,2.1589999999993557e-05,5.134803845238532e-06,1.6699999999758575e-05,3.410000000059199e-05,0.061466339999999973,0.0006389884204535359,0.0604328999999999,0.06268910000000005
32,0.2003787099999998,0.001136778716558495,0.19807780000000008,0.20297489999999918,0.10803111500000007,0.000966290374399972,0.10568460000000002,0.11016300000000001,4.112499999986419e-05,7.045855444561577e-06,3.250000000143416e-05,5.390000000016215e-05,2.1610000000027442e-05,5.092088807185347e-06,1.6200000000132775e-05,3.489999999928273e-05,0.10796838000000017,0.000964932467012445,0.10562950000000004,0.11009510000000011
