run,solution,cost,quality
1,"[1, 0, 0, 0, 0]",10,648518346341351.5
2,"[0, 0, 0, 0, 0]",0,0.0
3,"[0, 0, 0, 0, 1]",5,432345564227567.6
4,"[0, 0, 0, 0, 0]",0,0.0
5,"[0, 0, 0, 0, 0]",0,0.0
6,"[0, 0, 1, 0, 0]",12,684547143360315.4
7,"[0, 0, 0, 0, 1]",5,432345564227567.6
8,"[0, 1, 0, 0, 0]",15,576460752303423.5
9,"[0, 0, 0, 1, 0]",20,504403158265495.5
10,"[0, 1, 0, 0, 0]",15,576460752303423.5
